Movie Name,Time,Rating,Top Cast,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War
Arena Wars (2024),96,54,Michael MadsenSamson      Eric RobertsAdmiral Jordan      Robert LaSardoPerez      John WellsLuke Bender      Kevin HagerBelladonna      BJ MezekBoggs      Mercedes PetersonDomino      Sheri DavisHolly Daze      Michael BeranGideon      Robert DonavanMoses      Kylie FulmerBillie      Wesley CannonMinty / Meat Wagon      Johnny HuangKhan      Michelle HillAlice      Kyosuke MukaiKiyoshi      Tracy ObonnaKira      Allen WoodmanCalypso      Jason Marcos VelezCounter-Strike      Denny NolanDr. Clauberg      Bill Victor ArucanDr. Harata      Lisa HindsNurse Geraldine      Elizabeth Noelle JaphetNurse Angeline      Dee CutroneNurse Clarice      Maynard BagangAkuma      Dane BingenheimerBronson      Raf AdameBar Patron      Robert AndersonJackson      Darren BarcombBobby G      Brian BellSimmons      Kasey BrownKeebs      Chase ChristensenParty Guest      Scott CassinFive-O      Kyle ClaringtonRaphael      Alena DawnCammy      Anson DaysRichter      Kai DestinyKandi      James DormuthBig Pauly      Mindy DoughertyAsuela      Tim DoughertyAlan      Nick FordPrinceton      Victor V GelsominoEight Ball      Nicholas GeorgeAepeli      Darryl GoldbergTitus Flemmich      Darryl GoldbergParole Officer #3      Melyssa GraceSushi Girl      Earl GrayParis      Jean HeathenRosalie      Hans HernkeRosco      King JeffParole Officer #1      Angela JosephHopkins      Dennis E. JusinoCheddar      Alina KarpovaSasha      Marvin Maddicks Jr.Bogard      Jeramis McFaddenHector      Zach MuhsParty Guest      David C. NewmanKenshi      Jody NolanKenny      Nyell SeguraClancy      Steve PachecoRondo      Tony ParhamMaynard      Michael Della PiaTank      Sephdok RamoneRocky      Nino SmithSecurity Guard      Charles Solomon Jr.Parker      Ben StobberSteve      Greg TallyGoldie      Bron TheronNero      Rick TripCurly      Stef TripCurly      Viteliya VitaCandy      Janet WangShirley      Kyus WrightHargraves      Niko El Santo ZaveroHoracio Valdez      Rutherine UmaliClub Guest      Ashley ValiguraClub Guest      Tatum WesloskiClub Guest      ,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
अपॉकलिप्स Z: द बिगनिंग ऑफ़ द एन्ड (2024),119,69,Francisco OrtizManel      José María YázpikPritchenko      Berta VázquezLucía      Iria del RíoJulia      Marta PovedaBelén      Amalia GómezGabriela      María SalgueiroSister Cecilia      Yuri MykhaylychenkoUshakov      Ian MonclúsMax      Yaiza MacíasLaila      Ana García MoleroIria      Iago AndradeCarlos      Mohamed-Ali BoulabiarKamil      Sergey GrabSergey      Beka LemonjavaCheslav      Niko VeronaNikolai      Oriol RuizMario      Elena SeijoVan Wife      Ferran HerreraVan Husband      Joana OliveiraPortuguese Buyer #1      Thais KauffmannPortuguese Buyer #2      Iván RosSupermarket Man      Vanessa BuchacaSupermarket Woman      Manuel LouridoNervous Passenger      Sergio CrespoAirport Guardia Civil Agent      Paloma OteroAirport Stewardess      Arántzazu RuizMrs. Tebar      Benjamín MontesHousing State MP      Alberto LadrónPost Accident Medical Doctor      Monica McCollinUS Girl      Malcolm McCarthyCuban McGyver      Javier OliverasManel Home Policeman      Enric FontetaHousing State Burglar      Hicham MalayoPrisoner #1      Mou GhazouanPrisoner #2      Manel LoureiroTV Talk Show Host      Albert LesanTV Talk Show Expert      Laura GonzálezTV Talk Show Panel Member      Miquel MurgaTV Talk Show Panel Member      Francesc GalceranHealth Department Spokesman      Jesús LloverasGovernment President      ,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heretic (2024),111,70,Sophie ThatcherSister Barnes      Chloe EastSister Paxton      Hugh GrantMr. Reed      Topher GraceElder Kennedy      Elle YoungProphet      Julie Lynn-MortensenPedestrian      Haylie HansenTeenager      Elle McKinnonTeenager      Hanna HuffmanTeenager      Miguel CastilloNeighbor      Anesha BaileyNeighbor      Stephanie LavigneBeliever      Wendy GorlingDisciple      River CodackMissionary #1 (uncredited)      Carolyn AdairDriver with Car (uncredited)      ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Terrifier 3 (2024),125,68,Lauren LaVeraSienna Shaw      David Howard ThorntonArt the Clown      Samantha ScaffidiVictoria Heyes      Elliott FullamJonathan Shaw      Margaret Anne FlorenceJessica      Bryce JohnsonGreg      Alexa Blair RobertsonMia      Antonella RoseGabby      Mason MecarteaCole      Krsy FoxJennifer      Luciana VanDetteJuliet      Clint HowardSmokey      Bradley StrykerEddie      Daniel RoebuckCharlie Johnson / Santa Claus      Chris IrvineBurke      Tom SaviniBystander      Jason PatricMichael      Alex RossMark      Kailey HymanBrooke      Kellen RaffaeloTimmy      Jon AbrahamsDennis      Michael GenetJackson      Luciana Elisa QuiñonezYoung Sienna Shaw      Lisamarie FalconeDispatch      Stephen Cofield Jr.Officer Evans      Joe FalconeDean      Peter MitchellCosplayer      Marie MaserReceptionist      Michel VidalArmor Clad Demon      Juliana LamiaThe Virgin Mary      Sienna Hubert-RossStacy Bar Girl #1      Charlotte McKeeStacy Bar Girl #2      Chip CarriereDept Store Santa      Andrew HollingerElf      Robert CatalanoPhotographer      Lauren SowaMother      Nariyah SimpsonCarol Anne      Banks QuinneyLittle Boy #1      Evelyn LeeLittle Girl #2      Israel AcevedoSecurity Guard      Samantha SchwartzLittle Mall Girl      Jennifer C. JohnsonAngry Parent      Katie CurriAngry Parent #2      Preston Christopher LawrenceAngry Parent #3      Tom WhiteAngry Parent #4      Ryan UsuiLittle Boy #2      Annie LedermanGraven Image Co-Host      Michael LoverdeRowdy Beta #2      Ilia KrisulasRowdy Beta #1      Dominick MuschelloRowdy Beta #3      Beethovan OdenNews Anchor      Phil FalconeTom the Bus Driver      ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Pimpinero: Blood and Oil (2024),122,72,JuanesMoisés      Alejandro SpeitzerJuan      Alberto GuerraUlises      Laura OsmaDiana      ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Alien: Romulus (2024),119,72,Cailee SpaenyRain      David JonssonAndy      Archie RenauxTyler      Isabela MercedKay      Spike FearnBjorn      Aileen WuNavarro      Rosie EdeWY Officer      Soma Simon10-Year-Old Punk #1      Bence Okeke10-Year-Old Punk #2      Viktor Orizu10-Year-Old Punk #3      Robert BobroczkyiOffspring      Trevor NewlinXenomorph      Annemarie GriggsMU/TH/UR (voice)      Daniel BettsRook (Facial and Vocal Performance)      ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Levels (2024),92,58,Cara GeeAsh      Peter MooneyJoe      Aaron AbramsHunter      David HewlettOliver      Amanda TappingMEL      Adam HurtigGeddes      Sydney SabistonMaxine      Jade MaBellamy      BJ VerotReid      Kristian JordanWalker      Ava JulienWaitress      Kevin KlassenCommuter      ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Inside Out 2 (2024),97,76,Amy PoehlerJoy (voice)      Maya HawkeAnxiety (voice)      Kensington TallmanRiley (voice)      Liza LapiraDisgust (voice)      Tony HaleFear (voice)      Lewis BlackAnger (voice)      Phyllis SmithSadness (voice)      Ayo EdebiriEnvy (voice)      LilimarValentina (voice)      Grace LuGrace (voice)      Sumayyah Nuriddin-GreenBree (voice)      Adèle ExarchopoulosEnnui (voice)      डायने लेनMom (voice)      Kyle MacLachlanDad (voice)      Paul Walter HauserEmbarrassment (voice)      Yvette Nicole BrownCoach Roberts (voice)      Ron FunchesBloofy (voice)      James Austin JohnsonPouchy (voice)      Yong YeaLance Slashblade (voice)      Steve PurcellDeep Dark Secret (voice)      Dave GoelzMind Cop Frank (voice)      Kirk R. ThatcherForeman (voice)      फ्रैंक ओजMind Cop Dave (voice)      Paula PellMom's Anger (voice)      June SquibbNostalgia (voice)      पीट डॉक्टरDad's Anger (voice)      Paula PoundstoneForgetter Paula (voice)      John RatzenbergerFritz (voice)      Sarayu BlueMargie (voice)      FleaJake (voice)      Bobby MoynihanForgetter Bobby (voice)      Kendall Coyne SchofieldHockey Announcer (voice)      ,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Hunting With Tigers (2024),109,62,Sofiane ZermaniAvi      Waël SersoubMalik      Géraldine NakacheIris      Cassandra CanoEstelle      Samir GuesmiAzzedine      Losene KeitaOusmane      Olivier MartinezAnge      Omar SalimChérif Zhaoui      Vincent PerezSerge Lemy      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mufasa: The Lion King (2024),118,97,Aaron PierreMufasa (voice)      Kelvin Harrison Jr.Taka (voice)      Tiffany BooneSarabi (voice)      Kagiso LedigaYoung Rafiki (voice)      Preston NymanZazu (voice)      Mads MikkelsenKiros (voice)      Thandiwe NewtonEshe (voice)      Lennie JamesObasi (voice)      Anika Noni RoseAfia (voice)      Keith DavidMasego (voice)      John KaniRafiki (voice)      Seth RogenPumbaa (voice)      Billy EichnerTimon (voice)      Donald GloverSimba (voice)      Blue Ivy CarterKiara (voice)      BeyoncéNala (voice)      Braelyn RankinsMufasa Cub (voice)      Theo SomoluTaka Cub (voice)      Folake OlowofoyekuAmara (voice)      Joanna JonesAkua (voice)      Thuso MbeduJunia (voice)      Sheila AtimAjarry (voice)      Abdul SalisChigaru (voice)      Dominique JenningsSarafi (voice)      Derrick L. McMillonMosi (voice)      Maestro HarrellInaki (voice)      AJ BecklesAzibo (voice)      David S. LeeMobo (voice)      Brielle RankinsMufasa Cub additional lines (voice)      ,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Transformers One (2024),104,81,क्रिस हैमस्वर्थOrion Pax / Optimus Prime (voice)      Brian Tyree HenryD-16 / Megatron (voice)      स्कार्लेट जोहानसनElita-1 (voice)      Keegan-Michael KeyB-127 (voice)      Jon HammSentinel Prime (voice)      Steve BuscemiStarscream (voice)      Laurence FishburneAlpha Trion (voice)      Vanessa LiguoriAirachnid (voice)      Jon BaileySoundwave (voice)      Jason Konopisos-AlvarezShockwave / Guard 2 (voice)      Evan Michael LeeJazz (voice)      James RemarZeta Prime (voice)      Isaac C. Singleton Jr.Darkwing (voice)      Steve BlumAnnouncer Bot / Guard 1 (voice)      Jinny ChungChromia / Arcee (voice)      Josh CooleyControl Room Guys / PA System / Skywarp (voice)      Dillon BryanInjured Racer (voice)      ,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Despicable Me 4 (2024),94,71,Steve CarellGru (voice)      Kristen WiigLucy (voice)      Will FerrellMaxime (voice)      Sofía VergaraValentina (voice)      Miranda CosgroveMargo (voice)      Dana GaierEdith (voice)      Madison PolanAgnes (voice)      Pierre CoffinMinions (voice)      Chris RenaudPrincipal Übelschlecht (voice)      Steve CooganSilas (voice)      Stephen ColbertPerry Prescott (voice)      Chloe FinemanPatsy Prescott (voice)      Joey KingPoppy Prescott (voice)      Laraine NewmanMelora / Additional Voices (voice)      John DiMaggioBus Driver (voice)      Tara StrongAdditional Voices (voice)      Romesh RanganathanAdditional Voices (voice)      Brad AblesonAdditional Voices (voice)      Barbara HarrisAdditional Voices (voice)      Eden BoultonAdditional Voices (voice)      JP KarliakAdditional Voices (voice)      Cathy CavadiniAdditional Voices (voice)      Arif S. KinchenAdditional Voices (voice)      Will CollyerAdditional Voices (voice)      Jeremy MaxwellAdditional Voices (voice)      Abby CradenAdditional Voices (voice)      Ken DaurioAdditional Voices (voice)      Khary PaytonAdditional Voices (voice)      John DeMitaAdditional Voices (voice)      Aaron ForsAdditional Voices (voice)      Isaac Robinson-SmithAdditional Voices (voice)      Willow GeerAdditional Voices (voice)      Isa HallAdditional Voices (voice)      Nisa WardAdditional Voices (voice)      Aaron HendryAdditional Voices (voice)      Andreana WeinerAdditional Voices (voice)      Colette WhitakerAdditional Voices (voice)      ,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Moor (2024),120,45,Sophia La PortaClaire      David Edward-RobertsonBill      Elizabeth Dormer-PhillipsEleanor      Mark PeacheyAlex      Vicki HackettLiz      Bernard HillThornley      Dexter Sol AnsellDanny      Margaret BreareyTracey      Trevor Dwyer-LynchMr. Hobson      Velton LishkeDetective      Duggal RamAshad      Billie SuggettYoung Claire      Mia VoreBecky      Jack WagmanPolice Officer      Mark WilliamsThe Prisoner      Aatif Ati ZaferLead Archaeologist      ,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Solo Leveling -ReAwakening- (2024),116,81,Taito BanShun Mizushino (voice) (archive footage)      Genta NakamuraKenta Morobishi (voice) (archive footage)      Haruna MikawaAoi Mizushino (voice) (archive footage)      Reina UedaShizuku Kousaka (voice) (archive footage)      Daisuke HirakawaShin Mogami (voice) (archive footage)      Hiroki TouchiTaiga Shirakawa (voice) (archive footage)      Banjo GingaKiyoomi Goto (voice) (archive footage)      Makoto FurukawaAkira Inukai (voice) (archive footage)      ,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Knox Goes Away (2024),114,69,Michael KeatonJohn Knox      Al PacinoXavier Crane      Marcia Gay HardenRuby Knox      जेम्स मार्सडेनMiles Knox      सूज़ी नाकामुराDetective Emily Ikari      Joanna KuligAnnie      Ray McKinnonThomas Muncie      John HoogenakkerDetective Rale      Lela LorenCheryl Knox      Morgan BastinKaylee Knox      Dennis DuganPhilo Jones      Jay PaulsonDetective Gelfuso      Sasha NebogaLudmilla      Marisa EcheverriaBianca Delgado      Chad DonellaJordan Moore      Nicole ReddingerAnnette Elmore      Skip HowlandDiner Patron w Tattoos (uncredited)      Chad ChambersOrderly      Paul PerriDr. Burns      Edwin Garcia IIElian Zubiri      Kristofer GordonStorage Clerk      Charles BissetAndrew Palmer      Jimmy OrtegaGuard      Martin GarciaDaniel Warren      Benita Krista NallCSI Tech      Roberto PortalesUniformed Cop      Natasha GalanoMargaret Pierce      Anthony MolinariAdult Man      Rena BobbsNicole Richardson      Joshua MabieMan #2      Rob MarsMan #3      James CroakMan #1      Zedric HarrisCounty Jail Guard      Gugun Deep SinghJohn Bustamonte      Alison AcostaUniformed Officer      Adrian GaetaUniformed Cop #2      ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
My Fault (2023),117,79,Nicole WallaceNoah Morgan      Gabriel GuevaraNick Leister      Marta HazasRafaela      Iván SánchezWilliam Leister      Eva RuizJenna      Víctor VaronaLion      Fran BerenguerRonnie      Adriana UbaniAnna      Ivan MassaguéJonas      Mariano VenancioMartin      Jaime OrdóñezChofer      Jaime GutiérrezLeonardo      Anastasia RussoNoah Nina      Noah CasasMaggie      Daniel MartínezCruz      Pablo RigueroDan      Eve RyanBetty      Lucas NaborMario      Antonio Hernández FimiaMikel      Paloma CatalánPetra      Rocío PeláezInspectora      Jon RodPolicia 1      Mariano AndresPolicia 2      Jonatan RuizTipo Bebida Fiesta      Mónica CaballeroDoctora Maggie      Álvaro NavarroMaitre      ,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Classified (2024),105,59,"Aaron EckhartEvan Shaw      Tim RothKevin Angler      Abigail BreslinKacey Walker      Matt HookingsAntonio Griffin      Lucky AliLuca      Joe AzzopardiBarman      Kirsty BartoloTourist      Marc CabourdinLast Guard Griffin      Myles ClohessyTanner      Kim DeLonghiLiona      Mariah HardySophie      Brandon LessardButler      Mark MeilakTourist      Massimo P MoranaSteve      Mike ParishOffice Manager      Marysia S. PeresMonica Walker      Paul PortelliLost & Found (NY)      Christian SciclunaConcierge Phoenicia      Cassandra SpiteriCustoms Agent, Italy      Steffi ThakeHotel Clerk      Baylee ToneyCassandra      ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sonic the Hedgehog 3 (2024),110,0,Ben SchwartzSonic (voice)      जिम कैरीDr. Robotnik / Gerald Robotnik      कियानू रीव्सShadow (voice)      इड्रिस एल्बाKnuckles (voice)      Colleen O'ShaughnesseyTails (voice)      Krysten RitterDirector Rockwell      जेम्स मार्सडेनTom Wachowski      Tika SumpterMaddie Wachowski      Alyla BrowneMaria Robotnik      Lee MajdoubAgent Stone      Natasha RothwellRachel      Shemar MooreRandall      Adam PallyWade Whipple      Tom ButlerCommander Walters      James WolkJorma TacconeCristo FernándezSofia Pernas,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
स्पेलबाउंड (2024),110,69,Rachel ZeglerEllian (voice)      Miguel BernardeauChilo (voice)      Giovanna BushOrsola (voice)      Dennis StoweLumbrian Soldier (voice)      Jenifer LewisNazara (voice)      Dee Bradley BakerFlink (voice)      Susan FitzerOld Maid (voice)      निकोल किडमैनQueen Ellsmere (voice)      Javier BardemKing Solon (voice)      John LithgowBolinar (voice)      Olga MeredizThe General (voice)      Rich MooreThe Postmaster (voice)      Nathan LaneLuno - Oracle of the Moon (voice)      Tituss BurgessSunny - Oracle of the Sun (voice)      John RatzenbergerMilo The Monster Handler (voice)      Vicky JensonOld Blue-Haired Woman (voice)      Angela GroveyLumbrian Citizen (voice)      Jessica MolaskeyLumbrian Citizen (voice)      Isabelle McCallaLumbrian Citizen (voice)      ,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Arcadian (2024),92,61,निकोलस केजPaul      Jaeden MartellJoseph      Maxwell JenkinsThomas      Sadie SoverallCharlotte      Samantha CoughlanMrs. Rose      Joel GillmanHobson      Joe DixonMr. Rose      Daire McMahonMilitant Farmer (uncredited)      ,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Cash Out (2024),90,64,John TravoltaMason Goddard      Kristin DavisAmelia Decker      Lukas HaasShawn Goddard      QuavoAnton      Joel CohenVernon Richter      Noel GugliemiHector      Daniel Louis RivasChaz Antonelli      Natali YuraLink      Victorya BrandartJennifer Tish      Jake EllenzFBI Technician      John KinseyDemi CastroZade (as Demi Castro)      Luis Da Silva Jr.Fernando      Matt GeraldCaptain Fabrizio      Chris LindsayCommander Cyrus      Korrina RicoLucy      Swen TemmelGeorgios Caras      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
मैरी (2024),110,62,एंथनी हॉपकिंसKing Herod      Noa CohenMary      Ido TakoJoseph      Mili AvitalMariamne      Stephanie NurSalome      Eamon FarrenSatan      Soufiane El KhalidyFrustrated Pilgrim      Hilla VidorAnne      Gudmundur ThorvaldssonMarcellus      Ori PfefferJoachim      Tarrick BenhamJonathan      Saikat AhamedKing Casper      Mehmet KurtuluşBava Ben Buta      Sami FekkakAlexander      Ben AffanEleazar      Charley BoonLev      Kamal MoummadVihaan      Mila HarrisYoung Mary      Dudley O'ShaughnessyGabriel      ,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Survive (2024),90,59,Andreas PietschmannTom      Émilie DequenneJulia      Lucas EbelBen      Arben BajraktarajL'homme au harpon      Lisa DelamarCassie      Olivier Ho Hio HenNao      ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
How the Grinch Stole Christmas (2000),104,68,जिम कैरीGrinch      Taylor MomsenCindy Lou Who      Jeffrey TamborMayor Augustus Maywho      Christine BaranskiMartha May Whovier      Bill IrwinLou Lou Who      Molly ShannonBetty Lou Who      Clint HowardWhobris      Josh Ryan Evans8-Year-Old Grinch      Mindy SterlingClarnella      Bryce Dallas HowardSurprised Who      Lacey KohlChristina Whoterberry      Rachel WinfreeRose      Rance HowardElderly Timekeeper      Jeremy HowardDrew Lou Who      T.J. ThyneStu Lou Who      Nadja PionillaJunie      Jim MeskimenOfficer Wholihan      Michael DahlenCustomer      David CostabileBiker Who      Mary SteinMiss Rue Who      James RitzCrazy Mose      Deep RoyPost Office Clerk      Jessica SaraSophie      Mason LuceroWho Boy      Ben Bookbinder8-Year-Old Augustus Maywho      Michaela GalloWho Schoolgirl      Landry Allbright8-Year-Old Martha May Whovier      Reid Kirchenbauer8-Year-Old Whobris      Rebecca ChaceShopper      Suzanne KrullShopper      Steve KehelaShopper      Lillias WhiteShopper      Rain PryorShopper      John AlexanderShopper      Kevin IsolaTree Trimmer      Gavin GrazerYodeler      Walter FranksClerk      Verne TroyerBand Member      Clayton MartinezCook      Q'orianka KilcherLittle Choir Member      Caroline WilliamsTiny Who Woman      John ShortTiny Who Man      Grainger EschNear Miss Who      Eva BurkleyPudding Chef      Rick BakerPuppeteer      Bill SturgeonPuppeteer      Mark SetrakianPuppeteer      Jurgen HeimannPuppeteer      Tim BlaneyPuppeteer      Charles CroughwellBalloon Who      Frank WelkerMax the Dog (voice)      एंथनी हॉपकिंसNarrator (voice)      ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
The Count of Monte Cristo (2024),178,82,"Pierre NineyEdmond Dantès / The Count of Monte Cristo / Lord Halifax      Bastien BouillonFernand de Morcerf      Anaïs DemoustierMercédès Herrera      Anamaria VartolomeiHaydée      Laurent LafitteGérard de Villefort      Pierfrancesco FavinoAbbé Faria      Patrick MilleDanglars      Vassili SchneiderAlbert de Morcerf      Julien de Saint JeanAndrea      Julie de BonaVictoria      Adèle SimphalAngèle      Stéphane VarupenneCaderousse      Marie NarbonneEugénie Danglars      Bruno RaffaelliMorrel      Abde MazianeJacopo      Amaya DucellierHaydée à 10 ans      Oscar LesageLe témoin du duel      Joachim SimonMaximilien Morrel      Françoise GazioYvonne      Axel Baillele serviteur du baron Danglars      Lily DupontSuzanne, l'amie d'Eugénie      Olivier Le Montagnerle gardien du château d'If      Jérémie CovillaultAntoine, le gardien de prison      Bernard BlancanLouis Dantès, père d'Edmond      Graziella DelermMme de Morcerf      Xavier de GuillebonM. de Morcerf      Clémentine BaertMme de Villefort      Florence MullerMme Herrera      Serge Bagdassarianun juge      Jean-Louis Tribesle curé      Laurent Dassaultun convive du repas chez les Morcef      ",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wake Up (2024),80,74,Turlough ConveryKevin      Benny O. ArthurEthan      Alessia Yoko FontanaGrace      Jacqueline MoréYasmin      Kyle ScudderTyler      Thomas GouldKarim      Charlotte StoiberEmily      Aidan O'HareJack      Gary Anthony StennetteCoordinator      ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Dear Santa (2024),108,66,Robert Timothy SmithLiam Turner      जैक ब्लैकSatan      Keegan-Michael KeyDr. Finkleman      Brianne HoweyMolly Turner      Hayes MacArthurBill Turner      P.J. ByrneMr. Charles      Jaden Carson BakerGibby      Kai CechEmma      Post MalonePost Malone      Gavin MunnAidan      Cate FreedmanCrossing Guard      Ben StillerLucifer (uncredited)      Kyle GassScience Teacher      Lee ReyesLee      Bash HagelinJoey      Bryson Dean HaneyGrayson      Lindsay RootareTechnician      Luke ChiappettaJock      Greg ClarksonMale Newscaster      Maiya MoranFemale Newscaster      Abe FarrellyTattoo Tony      Leo Easton KellySpencer      Tierre TurnerBlitzen (voice)      Carole KaboyaLittle Kid’s Mom      Travon McEntyreMale Nurse      Izzy HerbertFlirty Girl      Selah Kimbro JonesAttractive Girl      ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Remnant (2024),112,50,Nicole PritchardAnna Symes / Ghostly Figure      Shaun Robert FoleyJohn Barnes      Tsu Shan ChambersDr. Adriana Stone      Remi WebsterSophie Bridges      Megan BellGrace Wheeler      Martin Ashley JonesKevin Bridges      ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Japanese Mom (2017),91,62,Jeon Ji-hakMin-cheol (민철)      Choi Min-hoGi-ho      Saki MizumiYuki      Ha RooMinky - Cameo      Ahn So-heeEun-ji      ,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
We Live in Time (2024),108,76,एंड्रयू गारफ़ील्डTobias      फ्लोरेंस प्यूAlmut      Grace DelaneyElla      Lee BraithwaiteJade      Aoife HindsSkye      Adam JamesSimon Maxson      Douglas HodgeReginald      Amy MorganLeah      Niamh CusackSylvia      Lucy BriersDr Kerri Weaver      Robert BoulterDr Hernandez      Nikhil ParmarSanjaya      Kerry GodlimanJane      Heather CraneyBuffy Jones      Matt KennardBenjamin      Sam KennardLucas      Saroja-Lily RatnavelRestaurant Show Staff Member      Laura GuestMidwife      Marama CorlettAdrienne Duvall      Sue WallaceCarlotta (Diner Waitress)      Megan HalyCashier      Eliot SaltChef James      Kevin BrewerChef Luke      Fumilayo Brown-OlatejuChef Ruth      Roly BothaNoel (Close-Up Magician)      Grace MolonyNurse (Chemo Ward)      Ann OgbomoOperator      Saira ChoudhrySheena      Joao Soares Dos ReisStation Cook      ,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Dominique (2024),94,76,Oksana OrlanDominique      Sebastián CarvajalJulio      María del RosarioPaulina      Maurice CompteChief Santiago      Chase ColemanJohn      Ski CarrGonzalo      Jose Conejo MartinOfficer Chago      ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
My Grandfather's Demons (2022),85,61,Victoria GuerraRosa (voice)      António DurãesGrandpa Marcelino (voice)      Ana Sofia MartinsLaura (voice)      Nuno LopesJoão (voice)      João TemperaHugo (voice)      Celso BugalloAntónio (voice)      Martim BalsaChico (voice)      Óscar BrancoAttorney (voice)      ,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Subservience (2024),105,67,Megan FoxAlice      Michele MorroneNick      Madeline ZimaMaggie      Matilda FirthIsla      Andrew WhippMonty      Atanas SrebrevLewis      Kate NicholsLyla      Trevor Van UdenActor      Euan MacnaughtonSIM Doctor (Male)      Max KrausActor      JR EspositoKobol Supervisor (Human)      Doroteya TolevaSim Waitress      Antoni DavidovTravis      Jude GreensteinMax      Rosmary YanevaFemale SIM      Kexin WangJohn      Manal El-FeituryDonna      Ronak PataniClerk (Kobol Showroom)      Derek MorseParamedic (SIM) / Kobol SIM      Les WeldonDoctor      Ayden HowlettMason      Velizar BinevOlder Male SIM      Emanuela TolevaServer SIM (Female)      Kalina KrustevaNurse (Human)      Boris GeorgievSurgeon SIM      Velimir VelevSurgeon SIM      Eva KalaydzhievaSurgeon SIM      Kristina VeroSurgeon SIM      ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
OVERLORD: The Sacred Kingdom (2024),134,78,Satoshi HinoAinz Ooal Gown / Momonga (voice)      Yumi HaraAlbedo (voice)      Masayuki KatouDemiurge (voice)      Yoshino AoyamaNeia Baraja (voice)      Hitomi NabatameRemedios Custodio (voice)      Saori HayamiCalca Bessarez (voice)      Haruka TomatsuKelart Custodio (voice)      ,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
