Movie Name,Time,Rating,Top Cast,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War
सिकंदर का मुकद्दर (2024),143,60,Jimmy ShergillJaswinder Singh      Avinash TiwarySikandar Sharma      Tamannaah BhatiaKamini Singh      Divya DuttaKaushalya Singh      Rajeev MehtaMangesh Desai      Zoya AfrozTabassum Khan      Ridhima PanditPriya Sawant      Deepak DaryaniACP Singh      Praful JoshiPI Kamble      Khurshed LawyerParker      Allinson Louis AranhaInformer      K. S. KrishnanAnna      Vikrant KolapeTarun Ghorpade      Aparna UpadhyaySikandar’s Mother      Ashrut JainManish      ,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Gladiator II (2024),148,67,Paul MescalLucius Verus / Hanno      Denzel WashingtonMacrinus      पेद्रो पास्कलGeneral Acacius      Connie NielsenLucilla      Joseph QuinnEmperor Geta      Fred HechingerEmperor Caracalla      Lior RazViggo      Derek JacobiGracchus      Peter MensahJugurtha      Matt LucasMaster of Ceremonies      Alexander KarimRavi      Yuval GonenArishat      Richard McCabeQuaestor      Tim McInnernyThraex      Alec UtgoffDarius      Rory McCannTegula      Yann GaelBostar      Riana DuceHyacinthia      Alfie TempestYoung Lucius      Amira GhazallaLucilla's Servant      Alexander SimkinCenturion      David GanlyMaster of Ceremonies (Baboon Arena)      Richard KatzGovernor (Baboon Arena)      Amal AyouchNoble Bedouin Woman      Hadrian HowardAgedilios      Chidi AjufoGladiator      Lee CharlesSlovak      Christopher Edward HallawaysGlyceo      Chi Lewis-ParryPhoebus      Ángel Gómez De La TorreGnaeus      Brahim Ait Ben AzzouzCenturion (Lucius' Arrest)      Maxime Rauf RuijselaarCenturion (Ostia)      Dean FaganDorso      Tom MoutchiBrennos      May CalamawyMacrinus' Companion (uncredited)      ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kraven the Hunter (2024),127,56,Aaron Taylor-JohnsonSergei Kravinoff / Kraven      Ariana DeBoseCalypso Ezili / Calypso      Fred HechingerDimitri Smerdyakov / The Chameleon      रसल क्रोNikolai Kravinoff      Alessandro NivolaAleksei Sytsevich / The Rhino      Christopher AbbottThe Foreigner      Levi MillerYoung Sergei Kravinoff      Billy BarrattYoung Dmitri      Diaana BabnicovaYoung Calypso      Dritan KastratiOleksander      ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GTMAX (2024),100,61,Ava BayaSoélie      Jalil LespertElyas      Jérémie LaheurteTheo      Thibaut ÉvrardLucas      Riadh BelaïcheMichael      Gérard LanvinDaniel      Samir DecazzaYacine      Clémentine CélariéHélène      Mohamed MakhtoumiCoéquipier filature 1      Céline JorrionLa Commissaire      Rayan BouazzaVinz      Estelle DarnaultElsa      ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Deadpool & Wolverine (2024),128,77,रयान रेनॉल्ड्सWade Wilson / Deadpool / Nicepool      ह्यू जैकमैनLogan / Wolverine      एम्मा कोरिनCassandra Nova      Matthew MacfadyenMr. Paradox      Dafne KeenLaura / X-23      जॉन फेवरोऊHappy Hogan      Morena BaccarinVanessa      Rob DelaneyPeter      Leslie UggamsBlind Al      Jennifer GarnerElektra      Wesley SnipesBlade      चेनिंग टैटमGambit      Chris EvansJohnny Storm      हेनरी केविलThe Cavillrine      Wunmi MosakuB-15      Aaron StanfordPyro      Tyler ManeSabretooth      करण सोनीDopinder      Brianna HildebrandNegasonic Teenage Warhead      Shioli KutsunaYukio      Stefan KapičićColossus (voice)      Randal ReederBuck      Lewis TanShatterstar      Nick PauleyDancepool      Sonita HenryMrs. Chipman      Ryan McKenMr. Chipman      Nanak PhloraElliot Chipman      Aydin AhmedKevin Chipman      Leemore Marrett Jr.Minuteman Leader      James DrydenTVA Tech      Ollie PalmerBar Patron      Greg HemphillSeedy Bartender      Aaron W ReedJuggernaut      Mike WatersBlob      Rob McElhenneyTVA Soldier      James ReynoldsScreaming Mutant (voice)      Ed KearOutpost Tech      Paul G. RaymondTVA Office Agent      ब्लैक लिवलीLadypool (voice)      Inez ReynoldsKidpool (voice)      Nathan FillionHeadpool (voice)      मॅथ्यू मॅक्कोनौघेCowboypool (voice)      OIin ReynoldsBabypool (voice)      Paul MullinWelshpool      Alex KyshkovychCanadapool      क्रिस हैमस्वर्थThor Odinson (archive footage) (uncredited)      Billy ClementsRussian (uncredited)      Daniel Medina RamosToad (uncredited)      Jade LyeLady Deathstrike (uncredited)      Nilly CetinQuill (uncredited)      Eduardo Gago MuñozAzazel (uncredited)      Chloe KibbleCallisto (uncredited)      Curtis Rowland SmallBullseye (uncredited)      Ayesha HussainPsylocke (uncredited)      Jessica WalkerArclight (uncredited)      Harry HollandHaroldpool (uncredited)      Kevin FortinZenpool (uncredited)      ,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Sidelined: The QB and Me (2024),99,64,Noah BeckDrayton Lahey      Siena AgudongDallas Bryan      Drew Ray TannerNathan Bryan      James Van Der BeekLeroy Lahey      Deborah CoxMiss Alicia      Asia LizardoGabby      Jake FoyMr. Justin Douglas      Jason FernandesJosh Lahey      Kendall CrossEllie Lahey      Josh ZahariaChase      Mia ShanksEmily      Samantha Montgomery-SwanMadison      Chris WoodBouncer      Peter KelamisPrincipal Cantor      Leanne AllenTenured Professor      Jia CurtisCheerleader #1      Austyn LamontTeen Dancer #1      Lola ClareTeen Dancer #2      Kaleah CrumpTeen Dancer #3      Valin ShinyeiTeen Dancer #4      Tessa TamuraDallas Dance Double      Chase NicholsonDrayton Stunt Double      Becky FergusonDallas Stunt Double      Ethan PickardFootball Player #1      Brayden LookFootball Player #2      Bronson PheifferFootball Player #3      Kayla BlanchardCheerleader #2      Gabby AmelioCheerleader #3      Yenay VerdunCheerleader #4      Shayla HardyHot Teacher      ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Wicked (2024),160,76,सिंथिया एरिवोElphaba      एरियाना ग्रांडेGalinda      Jeff GoldblumThe Wonderful Wizard of Oz      मिशेल योहMadame Morrible      जोनाथन बेलीFiyero      Ethan SlaterBoq      Marissa BodeNessarose      पीटर डिंक्लेजDr. Dillamond (voice)      Andy NymanGovernor Thropp      Courtney-Mae BriggsMrs. Thropp      Bowen YangPfannee      Bronwyn JamesShenshen      Aaron TeohTi Avaric      Shaun PrendergastShiz President      Keala SettleMiss Coddle      Sharon D. ClarkeDulcibear (voice)      Jenna BoydWolf Doctor (voice)      Colin Michael CarmichaelProfessor Nikidik      Adam JamesGlinda's Father      Alice FearnGlinda's Mother      Karis MusongoleYoung Elphaba Thropp      Poppy Townsend WhiteGirls Brigade      Winnie HolzmanWiz-O-Mania Actor      Idina MenzelWiz-O-Mania Super Star #1      David MorseWiz-O-Mania Super Star #2      Matthew KoonDancer      Misa KoideDancer      Hannah VeerapenDancer      Lukus AlexanderDancer      Alfredo TavaresTeacher      Jason LinesTeacher      Stephen SchwartzEmerald City Guard      Elijah ChatwellMunchkin      Ricardo Ludgero SouzaMunchkin      Jonathan SparrowMunchkin      Kristy Ann ShawSkeptical Munchkin      Terence HughesMunchkin Dignitary      Isaac BishopMean Kid      Aisha JawandoGreen Army Chorus      Marvin MontouteMunchkin (uncredited)      Dianne PilkingtonGeorgina OnuorahLuke BayerKerry EllisJames DrydenSkylar Blu CopelandKristin ChenowethWiz-O-Mania Super Star      Idina MenzelWiz-O-Mania Super Star      ,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
The Substance (2024),141,72,Demi MooreElisabeth      Margaret QualleySue      Dennis QuaidHarvey      Edward Hamilton-ClarkFred      Gore AbramsOliver      Oscar LesageTroy      Christian EricksonMan at Diner      Robin GreerMale Nurse      Tom MortonDoctor      Hugo Diego GarciaDiego - Boyfriend      Daniel KnightCasting Director      Jonathon CarleyAssistant Casting Director      Jiselle HenderkottGirl Auditioning / New Year's Eve Show Dancer      Akil WingateTV Host      Vincent ColombeMan in Suit #1 - Harvey's Office      Billy BentleyMan in Suit #2      Lennard RidsdaleMan in Suit #3      Jordan Ford SilverAssistant Director - Pump It Up Show      Oscar Salem2nd Assistant Director - Pump It Up Show      Viviane BossinaSue's Assistant      Matthew LuretFloor Runner      Jana BittnerováMaria      Olivier RaynalAlan - 2nd Agent      Tiffany HofstetterStylist      Nicolas RoyerGuy in the Elevator      Nathan RippyAssistant Director - New Year's Eve Show      Manon ArizmendiLittle Girl - New Year's Eve Show      Virginie KotlinskiMother - New Year's Eve Show      Brett GillenDirector of Photography - New Year's Eve Show      Charlotte MarquardtScreaming Woman      Léa HenglScreaming Woman      Gaëlle RaymondScreaming Woman      Claire LemaireScreaming Woman      Lila BoughoufalaScreaming Woman      Aurélien LorgnierScreaming Man      Ivan SellierScreaming Man      Philip SchurerScreaming Man      Christian BourmierShareholder      Martin GrahamShareholder      Christian BordeleauShareholder      Patrick HamelShareholder      Didier DhondtShareholder      Jacques-Yves DorgesShareholder      Jean-Claude MattheyShareholder      Olivier JarcinShareholder      Jean-Luc MagneronShareholder      Charlotte MurrayAllison - Diner Waitress      Aaron KahnGreeting Person      Gabriela ArnonGreeting Person      Nancy Josephson LahoussineGreeting Person      Andrew EldridgeGreeting Person      Denise PowersGreeting Person      Bryan JonesGreeting Person      Adam CarageHappy Birthday Person      Maria McClurgHappy Birthday Person      Andrew DesmondHappy Birthday Person      Rebecca LafontHappy Birthday Person      Laura PuechIsabella      Ryan ChidesterStagehand      Céline VogtElisabeth (Young) - Walk of Fame      Yannick GuérinClumsy Burger Guy - Walk of Fame      Jean MielWorker Walk of Fame      Paul DescoingsWorker Walk of Fame      Benoit LévêqueWorker Walk of Fame      Arthur MolinetCocktail Bartender      Manon SachotCocktail Lounge Couple      Bastien JorelleCocktail Lounge Couple      Kelly HoarauFemale Assistant - Towel      Michel JuskiewiczGeorge - Harvey's Friend      Louise GreggoryRestaurant Waitress      Christophe SartiranoGuy Looking at Sue      Florent TorresGuy Looking at Sue      Romain CaldeiraBillboard Technician      Barthelemy ThomasBillboard Technician      Axel BaillePhotographer      Ashley LambertAdditional Voices (voice)      Ranjani BrowAdditional Voices (voice)      Chase FeinAdditional Voices (voice)      Shane SweetAdditional Voices (voice)      William CalvertAdditional Voices (voice)      Michael CorbettAdditional Voices (voice)      Stephen ApostolinaAdditional Voices (voice)      Yann BeanThe Substance (voice)      Audjyan AlcidePump It Up Show Dancer      Jonathan JenvrinPump It Up Show Dancer      Mimi MauryPump It Up Show Dancer      Amelye SolangePump It Up Show Dancer      Kévin TablePump It Up Show Dancer      Laura BoeraSparkle Your Life Show Dancer      Cissy DucSparkle Your Life Show Dancer      Sophie MercierSparkle Your Life Show Dancer      Marie ValtonSparkle Your Life Show Dancer      Katrina BudzynskiNew Year's Eve Show Dancer      Alicia MauryNew Year's Eve Show Dancer      Megane AdamikNew Year's Eve Show Dancer      Annalisa PagnottaNew Year's Eve Show Dancer      Maelle DantignyNew Year's Eve Show Dancer      Aleksandra Fontaine KedzierskaNew Year's Eve Show Dancer      Pauline SagetatNew Year's Eve Show Dancer      Agustina FitzsimonsNew Year's Eve Show Dancer      Elena ShcheglovaNew Year's Eve Show Dancer      Eve MarchantNew Year's Eve Show Dancer      Lola DonatiNew Year's Eve Show Dancer      Kate MatthewsNew Year's Eve Show Dancer      Ophélie JonardNew Year's Eve Show Dancer      Pauline RichardNew Year's Eve Show Dancer      Laureen CappelliezNew Year's Eve Show Dancer      Daria PanchenkoNew Year's Eve Show Dancer      Delphine BeaulieuNew Year's Eve Show Dancer      Victoria BrunNew Year's Eve Show Dancer      Cara ChapmanNew Year's Eve Show Dancer      Katharine MatthewsNew Year's Eve Show Dancer      Alexandra FagetNew Year's Eve Show Dancer      Clémence JuvilleNew Year's Eve Show Dancer      Margot L'EnteteNew Year's Eve Show Dancer      Hillary SukhonosNew Year's Eve Show Dancer      Matthew GéczyBob Haswell (uncredited)      Namory BakayokoSilhouette (uncredited)      Gregory DefleurHappy Birthday Person (uncredited)      Coralie Fargeat(uncredited)      ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Smile 2 (2024),127,66,Naomi ScottSkye Riley      Rosemarie DeWittElizabeth Riley      Lukas GageLewis      Miles Gutierrez-RileyJoshua      पीटर जेकोब्सनMorris      Ray NicholsonPaul Hudson      Dylan GelulaGemma      Raúl CastilloDarius      Kyle GallnerJoel      Drew BarrymoreDrew Barrymore      Zebedee RowAlexi      Roberts JekabsonsYev      Sean StolzenMaksim      Jon RuaAnton      Vladimir DuthiersVladimir Duthiers      Kristine JohnsonKristine Johnson      Margot WeintraubYoung Fan      Christopher BaileyDunbar      Xhloe RiceGothy College Student      Caitlyn ClasseyFan      Ivan CarloAlfredo      Mila FalkofSmiling Girl      Christopher SkySkye's SUV Driver      Jarrett Austin BrownIntoxicated Man      Erika ChaseGirl in Bar      Micaela LamasCostume Designer      Karma JenkinsMakeup Artist      Daphne ZelleHair Stylist      Ken McGrawClinic Security Guard      Brandi BravoYoung Doctor      Delphi HarringtonBenefit Patron      Fredi BernsteinTalent Handler      Trevor NewlinThe Monstrosity      Parker FinnPhotographer      ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Weekend in Taipei (2024),101,62,Luke EvansJohn Lawlor      Gwei Lun-meiJoey Kang      Sung KangKwang      Wyatt YangRaymond      Pernell WalkerCharlotte Fields      Zach IrelandAgent Simons      Patrick LeeBolo      Virginia ChienJournalist      Lu Yi-chingJoey's grandmother      Tou Tsung-HuaPolice Detective      Tjarret YongSalesman      Erin Adele ClarkAirport Counter Clerk      Janet HsiehWoman in Bathroom      ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
