Movie Name,Genres,Time,Rating,Top Cast,Music,War,Horror,TV Movie,Romance,Drama,History,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Kraven the Hunter (2024),"Action, Adventure, Thriller",127,56,Aaron Taylor-JohnsonSergei Kravinoff / Kraven      Ariana DeBoseCalypso Ezili / Calypso      Fred HechingerDimitri Smerdyakov / The Chameleon      रसल क्रोNikolai Kravinoff      Alessandro NivolaAleksei Sytsevich / The Rhino      Christopher AbbottThe Foreigner      Levi MillerYoung Sergei Kravinoff      Billy BarrattYoung Dmitri      Diaana BabnicovaYoung Calypso      Dritan KastratiOleksander      ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
GTMAX (2024),"Action, Crime, Drama",100,61,Ava BayaSoélie      Jalil LespertElyas      Jérémie LaheurteTheo      Thibaut ÉvrardLucas      Riadh BelaïcheMichael      Gérard LanvinDaniel      Samir DecazzaYacine      Clémentine CélariéHélène      Mohamed MakhtoumiCoéquipier filature 1      Céline JorrionLa Commissaire      Rayan BouazzaVinz      Estelle DarnaultElsa      ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Deadpool & Wolverine (2024),"Action, Comedy, Science Fiction",128,77,रयान रेनॉल्ड्सWade Wilson / Deadpool / Nicepool      ह्यू जैकमैनLogan / Wolverine      एम्मा कोरिनCassandra Nova      Matthew MacfadyenMr. Paradox      Dafne KeenLaura / X-23      जॉन फेवरोऊHappy Hogan      Morena BaccarinVanessa      Rob DelaneyPeter      Leslie UggamsBlind Al      Jennifer GarnerElektra      Wesley SnipesBlade      चेनिंग टैटमGambit      Chris EvansJohnny Storm      हेनरी केविलThe Cavillrine      Wunmi MosakuB-15      Aaron StanfordPyro      Tyler ManeSabretooth      करण सोनीDopinder      Brianna HildebrandNegasonic Teenage Warhead      Shioli KutsunaYukio      Stefan KapičićColossus (voice)      Randal ReederBuck      Lewis TanShatterstar      Nick PauleyDancepool      Sonita HenryMrs. Chipman      Ryan McKenMr. Chipman      Nanak PhloraElliot Chipman      Aydin AhmedKevin Chipman      Leemore Marrett Jr.Minuteman Leader      James DrydenTVA Tech      Ollie PalmerBar Patron      Greg HemphillSeedy Bartender      Aaron W ReedJuggernaut      Mike WatersBlob      Rob McElhenneyTVA Soldier      James ReynoldsScreaming Mutant (voice)      Ed KearOutpost Tech      Paul G. RaymondTVA Office Agent      ब्लैक लिवलीLadypool (voice)      Inez ReynoldsKidpool (voice)      Nathan FillionHeadpool (voice)      मॅथ्यू मॅक्कोनौघेCowboypool (voice)      OIin ReynoldsBabypool (voice)      Paul MullinWelshpool      Alex KyshkovychCanadapool      क्रिस हैमस्वर्थThor Odinson (archive footage) (uncredited)      Billy ClementsRussian (uncredited)      Daniel Medina RamosToad (uncredited)      Jade LyeLady Deathstrike (uncredited)      Nilly CetinQuill (uncredited)      Eduardo Gago MuñozAzazel (uncredited)      Chloe KibbleCallisto (uncredited)      Curtis Rowland SmallBullseye (uncredited)      Ayesha HussainPsylocke (uncredited)      Jessica WalkerArclight (uncredited)      Harry HollandHaroldpool (uncredited)      Kevin FortinZenpool (uncredited)      ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Sidelined: The QB and Me (2024),"Comedy, Romance, TV Movie",99,64,Noah BeckDrayton Lahey      Siena AgudongDallas Bryan      Drew Ray TannerNathan Bryan      James Van Der BeekLeroy Lahey      Deborah CoxMiss Alicia      Asia LizardoGabby      Jake FoyMr. Justin Douglas      Jason FernandesJosh Lahey      Kendall CrossEllie Lahey      Josh ZahariaChase      Mia ShanksEmily      Samantha Montgomery-SwanMadison      Chris WoodBouncer      Peter KelamisPrincipal Cantor      Leanne AllenTenured Professor      Jia CurtisCheerleader #1      Austyn LamontTeen Dancer #1      Lola ClareTeen Dancer #2      Kaleah CrumpTeen Dancer #3      Valin ShinyeiTeen Dancer #4      Tessa TamuraDallas Dance Double      Chase NicholsonDrayton Stunt Double      Becky FergusonDallas Stunt Double      Ethan PickardFootball Player #1      Brayden LookFootball Player #2      Bronson PheifferFootball Player #3      Kayla BlanchardCheerleader #2      Gabby AmelioCheerleader #3      Yenay VerdunCheerleader #4      Shayla HardyHot Teacher      ,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Wicked (2024),"Drama, Romance, Fantasy",160,76,सिंथिया एरिवोElphaba      एरियाना ग्रांडेGalinda      Jeff GoldblumThe Wonderful Wizard of Oz      मिशेल योहMadame Morrible      जोनाथन बेलीFiyero      Ethan SlaterBoq      Marissa BodeNessarose      पीटर डिंक्लेजDr. Dillamond (voice)      Andy NymanGovernor Thropp      Courtney-Mae BriggsMrs. Thropp      Bowen YangPfannee      Bronwyn JamesShenshen      Aaron TeohTi Avaric      Shaun PrendergastShiz President      Keala SettleMiss Coddle      Sharon D. ClarkeDulcibear (voice)      Jenna BoydWolf Doctor (voice)      Colin Michael CarmichaelProfessor Nikidik      Adam JamesGlinda's Father      Alice FearnGlinda's Mother      Karis MusongoleYoung Elphaba Thropp      Poppy Townsend WhiteGirls Brigade      Winnie HolzmanWiz-O-Mania Actor      Idina MenzelWiz-O-Mania Super Star #1      David MorseWiz-O-Mania Super Star #2      Matthew KoonDancer      Misa KoideDancer      Hannah VeerapenDancer      Lukus AlexanderDancer      Alfredo TavaresTeacher      Jason LinesTeacher      Stephen SchwartzEmerald City Guard      Elijah ChatwellMunchkin      Ricardo Ludgero SouzaMunchkin      Jonathan SparrowMunchkin      Kristy Ann ShawSkeptical Munchkin      Terence HughesMunchkin Dignitary      Isaac BishopMean Kid      Aisha JawandoGreen Army Chorus      Marvin MontouteMunchkin (uncredited)      Dianne PilkingtonGeorgina OnuorahLuke BayerKerry EllisJames DrydenSkylar Blu CopelandKristin ChenowethWiz-O-Mania Super Star      Idina MenzelWiz-O-Mania Super Star      ,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
The Substance (2024),"Horror, Science Fiction",141,72,Demi MooreElisabeth      Margaret QualleySue      Dennis QuaidHarvey      Edward Hamilton-ClarkFred      Gore AbramsOliver      Oscar LesageTroy      Christian EricksonMan at Diner      Robin GreerMale Nurse      Tom MortonDoctor      Hugo Diego GarciaDiego - Boyfriend      Daniel KnightCasting Director      Jonathon CarleyAssistant Casting Director      Jiselle HenderkottGirl Auditioning / New Year's Eve Show Dancer      Akil WingateTV Host      Vincent ColombeMan in Suit #1 - Harvey's Office      Billy BentleyMan in Suit #2      Lennard RidsdaleMan in Suit #3      Jordan Ford SilverAssistant Director - Pump It Up Show      Oscar Salem2nd Assistant Director - Pump It Up Show      Viviane BossinaSue's Assistant      Matthew LuretFloor Runner      Jana BittnerováMaria      Olivier RaynalAlan - 2nd Agent      Tiffany HofstetterStylist      Nicolas RoyerGuy in the Elevator      Nathan RippyAssistant Director - New Year's Eve Show      Manon ArizmendiLittle Girl - New Year's Eve Show      Virginie KotlinskiMother - New Year's Eve Show      Brett GillenDirector of Photography - New Year's Eve Show      Charlotte MarquardtScreaming Woman      Léa HenglScreaming Woman      Gaëlle RaymondScreaming Woman      Claire LemaireScreaming Woman      Lila BoughoufalaScreaming Woman      Aurélien LorgnierScreaming Man      Ivan SellierScreaming Man      Philip SchurerScreaming Man      Christian BourmierShareholder      Martin GrahamShareholder      Christian BordeleauShareholder      Patrick HamelShareholder      Didier DhondtShareholder      Jacques-Yves DorgesShareholder      Jean-Claude MattheyShareholder      Olivier JarcinShareholder      Jean-Luc MagneronShareholder      Charlotte MurrayAllison - Diner Waitress      Aaron KahnGreeting Person      Gabriela ArnonGreeting Person      Nancy Josephson LahoussineGreeting Person      Andrew EldridgeGreeting Person      Denise PowersGreeting Person      Bryan JonesGreeting Person      Adam CarageHappy Birthday Person      Maria McClurgHappy Birthday Person      Andrew DesmondHappy Birthday Person      Rebecca LafontHappy Birthday Person      Laura PuechIsabella      Ryan ChidesterStagehand      Céline VogtElisabeth (Young) - Walk of Fame      Yannick GuérinClumsy Burger Guy - Walk of Fame      Jean MielWorker Walk of Fame      Paul DescoingsWorker Walk of Fame      Benoit LévêqueWorker Walk of Fame      Arthur MolinetCocktail Bartender      Manon SachotCocktail Lounge Couple      Bastien JorelleCocktail Lounge Couple      Kelly HoarauFemale Assistant - Towel      Michel JuskiewiczGeorge - Harvey's Friend      Louise GreggoryRestaurant Waitress      Christophe SartiranoGuy Looking at Sue      Florent TorresGuy Looking at Sue      Romain CaldeiraBillboard Technician      Barthelemy ThomasBillboard Technician      Axel BaillePhotographer      Ashley LambertAdditional Voices (voice)      Ranjani BrowAdditional Voices (voice)      Chase FeinAdditional Voices (voice)      Shane SweetAdditional Voices (voice)      William CalvertAdditional Voices (voice)      Michael CorbettAdditional Voices (voice)      Stephen ApostolinaAdditional Voices (voice)      Yann BeanThe Substance (voice)      Audjyan AlcidePump It Up Show Dancer      Jonathan JenvrinPump It Up Show Dancer      Mimi MauryPump It Up Show Dancer      Amelye SolangePump It Up Show Dancer      Kévin TablePump It Up Show Dancer      Laura BoeraSparkle Your Life Show Dancer      Cissy DucSparkle Your Life Show Dancer      Sophie MercierSparkle Your Life Show Dancer      Marie ValtonSparkle Your Life Show Dancer      Katrina BudzynskiNew Year's Eve Show Dancer      Alicia MauryNew Year's Eve Show Dancer      Megane AdamikNew Year's Eve Show Dancer      Annalisa PagnottaNew Year's Eve Show Dancer      Maelle DantignyNew Year's Eve Show Dancer      Aleksandra Fontaine KedzierskaNew Year's Eve Show Dancer      Pauline SagetatNew Year's Eve Show Dancer      Agustina FitzsimonsNew Year's Eve Show Dancer      Elena ShcheglovaNew Year's Eve Show Dancer      Eve MarchantNew Year's Eve Show Dancer      Lola DonatiNew Year's Eve Show Dancer      Kate MatthewsNew Year's Eve Show Dancer      Ophélie JonardNew Year's Eve Show Dancer      Pauline RichardNew Year's Eve Show Dancer      Laureen CappelliezNew Year's Eve Show Dancer      Daria PanchenkoNew Year's Eve Show Dancer      Delphine BeaulieuNew Year's Eve Show Dancer      Victoria BrunNew Year's Eve Show Dancer      Cara ChapmanNew Year's Eve Show Dancer      Katharine MatthewsNew Year's Eve Show Dancer      Alexandra FagetNew Year's Eve Show Dancer      Clémence JuvilleNew Year's Eve Show Dancer      Margot L'EnteteNew Year's Eve Show Dancer      Hillary SukhonosNew Year's Eve Show Dancer      Matthew GéczyBob Haswell (uncredited)      Namory BakayokoSilhouette (uncredited)      Gregory DefleurHappy Birthday Person (uncredited)      Coralie Fargeat(uncredited)      ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Smile 2 (2024),"Horror, Mystery",127,66,Naomi ScottSkye Riley      Rosemarie DeWittElizabeth Riley      Lukas GageLewis      Miles Gutierrez-RileyJoshua      पीटर जेकोब्सनMorris      Ray NicholsonPaul Hudson      Dylan GelulaGemma      Raúl CastilloDarius      Kyle GallnerJoel      Drew BarrymoreDrew Barrymore      Zebedee RowAlexi      Roberts JekabsonsYev      Sean StolzenMaksim      Jon RuaAnton      Vladimir DuthiersVladimir Duthiers      Kristine JohnsonKristine Johnson      Margot WeintraubYoung Fan      Christopher BaileyDunbar      Xhloe RiceGothy College Student      Caitlyn ClasseyFan      Ivan CarloAlfredo      Mila FalkofSmiling Girl      Christopher SkySkye's SUV Driver      Jarrett Austin BrownIntoxicated Man      Erika ChaseGirl in Bar      Micaela LamasCostume Designer      Karma JenkinsMakeup Artist      Daphne ZelleHair Stylist      Ken McGrawClinic Security Guard      Brandi BravoYoung Doctor      Delphi HarringtonBenefit Patron      Fredi BernsteinTalent Handler      Trevor NewlinThe Monstrosity      Parker FinnPhotographer      ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Weekend in Taipei (2024),"Action, Adventure, Thriller",101,62,Luke EvansJohn Lawlor      Gwei Lun-meiJoey Kang      Sung KangKwang      Wyatt YangRaymond      Pernell WalkerCharlotte Fields      Zach IrelandAgent Simons      Patrick LeeBolo      Virginia ChienJournalist      Lu Yi-chingJoey's grandmother      Tou Tsung-HuaPolice Detective      Tjarret YongSalesman      Erin Adele ClarkAirport Counter Clerk      Janet HsiehWoman in Bathroom      ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Arena Wars (2024),"Action, Science Fiction, Thriller, Comedy, Horror",96,54,Michael MadsenSamson      Eric RobertsAdmiral Jordan      Robert LaSardoPerez      John WellsLuke Bender      Kevin HagerBelladonna      BJ MezekBoggs      Mercedes PetersonDomino      Sheri DavisHolly Daze      Michael BeranGideon      Robert DonavanMoses      Kylie FulmerBillie      Wesley CannonMinty / Meat Wagon      Johnny HuangKhan      Michelle HillAlice      Kyosuke MukaiKiyoshi      Tracy ObonnaKira      Allen WoodmanCalypso      Jason Marcos VelezCounter-Strike      Denny NolanDr. Clauberg      Bill Victor ArucanDr. Harata      Lisa HindsNurse Geraldine      Elizabeth Noelle JaphetNurse Angeline      Dee CutroneNurse Clarice      Maynard BagangAkuma      Dane BingenheimerBronson      Raf AdameBar Patron      Robert AndersonJackson      Darren BarcombBobby G      Brian BellSimmons      Kasey BrownKeebs      Chase ChristensenParty Guest      Scott CassinFive-O      Kyle ClaringtonRaphael      Alena DawnCammy      Anson DaysRichter      Kai DestinyKandi      James DormuthBig Pauly      Mindy DoughertyAsuela      Tim DoughertyAlan      Nick FordPrinceton      Victor V GelsominoEight Ball      Nicholas GeorgeAepeli      Darryl GoldbergTitus Flemmich      Darryl GoldbergParole Officer #3      Melyssa GraceSushi Girl      Earl GrayParis      Jean HeathenRosalie      Hans HernkeRosco      King JeffParole Officer #1      Angela JosephHopkins      Dennis E. JusinoCheddar      Alina KarpovaSasha      Marvin Maddicks Jr.Bogard      Jeramis McFaddenHector      Zach MuhsParty Guest      David C. NewmanKenshi      Jody NolanKenny      Nyell SeguraClancy      Steve PachecoRondo      Tony ParhamMaynard      Michael Della PiaTank      Sephdok RamoneRocky      Nino SmithSecurity Guard      Charles Solomon Jr.Parker      Ben StobberSteve      Greg TallyGoldie      Bron TheronNero      Rick TripCurly      Stef TripCurly      Viteliya VitaCandy      Janet WangShirley      Kyus WrightHargraves      Niko El Santo ZaveroHoracio Valdez      Rutherine UmaliClub Guest      Ashley ValiguraClub Guest      Tatum WesloskiClub Guest      ,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Heretic (2024),"Horror, Thriller",111,70,Sophie ThatcherSister Barnes      Chloe EastSister Paxton      Hugh GrantMr. Reed      Topher GraceElder Kennedy      Elle YoungProphet      Julie Lynn-MortensenPedestrian      Haylie HansenTeenager      Elle McKinnonTeenager      Hanna HuffmanTeenager      Miguel CastilloNeighbor      Anesha BaileyNeighbor      Stephanie LavigneBeliever      Wendy GorlingDisciple      River CodackMissionary #1 (uncredited)      Carolyn AdairDriver with Car (uncredited)      ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Terrifier 3 (2024),"Horror, Thriller",125,68,Lauren LaVeraSienna Shaw      David Howard ThorntonArt the Clown      Samantha ScaffidiVictoria Heyes      Elliott FullamJonathan Shaw      Margaret Anne FlorenceJessica      Bryce JohnsonGreg      Alexa Blair RobertsonMia      Antonella RoseGabby      Mason MecarteaCole      Krsy FoxJennifer      Luciana VanDetteJuliet      Clint HowardSmokey      Bradley StrykerEddie      Daniel RoebuckCharlie Johnson / Santa Claus      Chris IrvineBurke      Tom SaviniBystander      Jason PatricMichael      Alex RossMark      Kailey HymanBrooke      Kellen RaffaeloTimmy      Jon AbrahamsDennis      Michael GenetJackson      Luciana Elisa QuiñonezYoung Sienna Shaw      Lisamarie FalconeDispatch      Stephen Cofield Jr.Officer Evans      Joe FalconeDean      Peter MitchellCosplayer      Marie MaserReceptionist      Michel VidalArmor Clad Demon      Juliana LamiaThe Virgin Mary      Sienna Hubert-RossStacy Bar Girl #1      Charlotte McKeeStacy Bar Girl #2      Chip CarriereDept Store Santa      Andrew HollingerElf      Robert CatalanoPhotographer      Lauren SowaMother      Nariyah SimpsonCarol Anne      Banks QuinneyLittle Boy #1      Evelyn LeeLittle Girl #2      Israel AcevedoSecurity Guard      Samantha SchwartzLittle Mall Girl      Jennifer C. JohnsonAngry Parent      Katie CurriAngry Parent #2      Preston Christopher LawrenceAngry Parent #3      Tom WhiteAngry Parent #4      Ryan UsuiLittle Boy #2      Annie LedermanGraven Image Co-Host      Michael LoverdeRowdy Beta #2      Ilia KrisulasRowdy Beta #1      Dominick MuschelloRowdy Beta #3      Beethovan OdenNews Anchor      Phil FalconeTom the Bus Driver      ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
