Top 7 Cast
Taito BanShun Mizushino (voice) (archive footage); Genta NakamuraKenta Morobishi (voice) (archive footage); Haruna MikawaAoi Mizushino (voice) (archive footage); Reina UedaShizuku Kousaka (voice) (archive footage); Daisuke HirakawaShin Mogami (voice) (archive footage); Hiroki TouchiTaiga Shirakawa (voice) (archive footage); Banjo GingaKiyoomi Goto (voice) (archive footage)
Michael KeatonJohn Knox; Al PacinoXavier Crane; Marcia Gay HardenRuby Knox; Miles Knox; Detective Emily Ikari; Joanna KuligAnnie; Ray McKinnonThomas Muncie
Nicole WallaceNoah Morgan; Gabriel GuevaraNick Leister; Marta HazasRafaela; Iván SánchezWilliam Leister; Eva RuizJenna; Víctor VaronaLion; Fran BerenguerRonnie
Aaron EckhartEvan Shaw; Tim RothKevin Angler; Abigail BreslinKacey Walker; Matt HookingsAntonio Griffin; Lucky AliLuca; Joe AzzopardiBarman; Kirsty BartoloTourist
Ben SchwartzSonic (voice); Dr. Robotnik / Gerald Robotnik; Shadow (voice); Knuckles (voice); Colleen O'ShaughnesseyTails (voice); Krysten RitterDirector Rockwell; Tom Wachowski
 Paul; Jaeden MartellJoseph; Maxwell JenkinsThomas; Sadie SoverallCharlotte; Samantha CoughlanMrs. Rose; Joel GillmanHobson; Joe DixonMr. Rose
John TravoltaMason Goddard; Kristin DavisAmelia Decker; Lukas HaasShawn Goddard; QuavoAnton; Joel CohenVernon Richter; Noel GugliemiHector; Daniel Louis RivasChaz Antonelli
Andreas PietschmannTom; Émilie DequenneJulia; Lucas EbelBen; Arben BajraktarajL'homme au harpon; Lisa DelamarCassie; Olivier Ho Hio HenNao; 
 Grinch; Taylor MomsenCindy Lou Who; Jeffrey TamborMayor Augustus Maywho; Christine BaranskiMartha May Whovier; Bill IrwinLou Lou Who; Molly ShannonBetty Lou Who; Clint HowardWhobris
Pierre NineyEdmond Dantès / The Count of Monte Cristo / Lord Halifax; Bastien BouillonFernand de Morcerf; Anaïs DemoustierMercédès Herrera; Anamaria VartolomeiHaydée; Laurent LafitteGérard de Villefort; Pierfrancesco FavinoAbbé Faria; Patrick MilleDanglars
Turlough ConveryKevin; Benny O. ArthurEthan; Alessia Yoko FontanaGrace; Jacqueline MoréYasmin; Kyle ScudderTyler; Thomas GouldKarim; Charlotte StoiberEmily
Robert Timothy SmithLiam Turner; Satan; Keegan-Michael KeyDr. Finkleman; Brianne HoweyMolly Turner; Hayes MacArthurBill Turner; P.J. ByrneMr. Charles; Jaden Carson BakerGibby
Nicole PritchardAnna Symes / Ghostly Figure; Shaun Robert FoleyJohn Barnes; Tsu Shan ChambersDr. Adriana Stone; Remi WebsterSophie Bridges; Megan BellGrace Wheeler; Martin Ashley JonesKevin Bridges; 
Jeon Ji-hakMin-cheol (민철); Choi Min-hoGi-ho; Saki MizumiYuki; Ha RooMinky - Cameo; Ahn So-heeEun-ji; 
 Tobias; Almut; Grace DelaneyElla; Lee BraithwaiteJade; Aoife HindsSkye; Adam JamesSimon Maxson; Douglas HodgeReginald
Oksana OrlanDominique; Sebastián CarvajalJulio; María del RosarioPaulina; Maurice CompteChief Santiago; Chase ColemanJohn; Ski CarrGonzalo; Jose Conejo MartinOfficer Chago
Victoria GuerraRosa (voice); António DurãesGrandpa Marcelino (voice); Ana Sofia MartinsLaura (voice); Nuno LopesJoão (voice); João TemperaHugo (voice); Celso BugalloAntónio (voice); Martim BalsaChico (voice)
Megan FoxAlice; Michele MorroneNick; Madeline ZimaMaggie; Matilda FirthIsla; Andrew WhippMonty; Atanas SrebrevLewis; Kate NicholsLyla
